,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
81940,5.0,江苏,80509999.993,0.005,0.002,0.0,33.117227692307694,119.85052999999999
82647,5.0,江西,46479999.985,0.011,0.003,0.0,28.422473636363634,116.2816772727273
83278,5.0,河北,75559999.996,0.003,0.001,0.0,39.43456181818181,116.94264636363637
84007,5.0,河南,96049999.963,0.028,0.008,0.001,34.62354470588235,114.39410823529411
84813,5.0,浙江,57369999.994,0.004,0.001,0.0,30.10409363636364,120.86088727272727
85403,5.0,海南,9339999.999,0.001,0.0,0.0,19.191874285714285,110.12555857142857
86171,5.0,湖北,59169756.126,197.564,106.846,39.464,31.060170000000003,113.48653125000003
86967,5.0,湖南,68989999.969,0.023,0.007,0.001,28.16187230769231,112.56216384615384
87609,5.0,甘肃,26369999.999,0.0,0.0,0.0,37.30401,103.87728333333332
88469,5.0,福建,39409999.995,0.003,0.001,0.0,26.142049999999998,118.73027333333334
89064,5.0,西藏,3439999.997,0.002,0.001,0.0,,
89065,5.0,贵州,35999999.998,0.001,0.0,0.0,27.496083333333335,107.00552
89593,5.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
90368,5.0,重庆,31019999.981,0.015,0.004,0.001,31.947670000000002,109.8788
90371,5.0,陕西,38639999.993,0.005,0.001,0.0,35.282599000000005,109.596947
91166,5.0,青海,6029999.996,0.003,0.001,0.0,36.88553,102.31702999999999
91240,5.0,黑龙江,37729999.999,0.0,0.0,0.0,47.34939249999999,130.2335575
92058,6.0,上海,24239999.993,0.005,0.002,0.0,31.6229,121.54409
92062,6.0,云南,48299999.998,0.001,0.0,0.0,25.904379999999996,102.30507500000002
92734,6.0,内蒙古,25339999.995,0.004,0.001,0.0,,
92735,6.0,北京,21539999.991,0.006,0.002,0.0,40.45678,117.12141000000001
92738,6.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
93437,6.0,四川,83409999.991,0.007,0.002,0.0,30.53237777777778,105.2965627777778
94310,6.0,天津,15599999.998,0.001,0.0,0.0,40.045770000000005,117.82478
94314,6.0,宁夏,6879999.991,0.006,0.002,0.0,,
94315,6.0,安徽,63239999.984,0.012,0.004,0.001,32.297855625000004,117.78378999999998
95020,6.0,山东,100469999.996,0.003,0.001,0.0,36.72984058823529,118.55807705882354
95793,6.0,山西,37179999.999,0.001,0.0,0.0,37.94250727272727,113.0517218181818
96583,6.0,广东,113459999.981,0.014,0.004,0.001,23.33513857142857,114.03101857142859
97281,6.0,广西,49259999.996,0.003,0.001,0.0,,
97282,6.0,新疆,24870000.0,0.0,0.0,0.0,,
97283,6.0,江苏,80509999.989,0.008,0.002,0.0,33.117227692307694,119.85052999999999
97990,6.0,江西,46479999.978,0.016,0.005,0.001,28.422473636363634,116.2816772727273
98621,6.0,河北,75559999.994,0.004,0.001,0.0,39.43456181818181,116.94264636363637
99350,6.0,河南,96049999.946,0.04,0.012,0.002,34.62354470588235,114.39410823529411
100156,6.0,浙江,57369999.991,0.006,0.002,0.0,30.10409363636364,120.86088727272727
100746,6.0,海南,9339999.999,0.001,0.0,0.0,19.191874285714285,110.12555857142857
101514,6.0,湖北,59169670.644,243.532,131.935,53.888,31.060170000000003,113.48653125000003
