,day,susceptics,exposed,infected,recover,province_y,province_en
354,11,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
355,11,80509999,0,0,0,江苏省,Jiangsu
356,11,46479999,0,0,0,江西省,Jiangxi
357,11,75559999,0,0,0,河北省,Hebei
358,11,96049999,0,0,0,河南省,Henan
359,11,57369999,0,0,0,浙江省,Zhejiang
360,11,9339999,0,0,0,海南省,Hainan
361,11,59169993,3,1,1,湖北省,Hubei
362,11,68989999,0,0,0,湖南省,Hunan
363,11,26369999,0,0,0,甘肃省,Gansu
364,11,39409999,0,0,0,福建省,Fujian
365,11,3439999,0,0,0,西藏自治区,Tibet
366,11,35999999,0,0,0,贵州省,Guizhou
367,11,43589999,0,0,0,辽宁省,Liaoning
368,11,31019999,0,0,0,重庆声,Chongqing
369,11,38639999,0,0,0,陕西省,Shaanxi
370,11,6029999,0,0,0,青海省,Qinghai
371,11,37729999,0,0,0,黑龙江省,Heilongjiang
372,12,24239999,0,0,0,上海市,Shanghai
373,12,48299999,0,0,0,云南省,Yunnan
374,12,25339999,0,0,0,内蒙古自治区,Inner Mongolia
375,12,21539999,0,0,0,北京市,Beijing
376,12,27039999,0,0,0,吉林省,Jilin
377,12,83409999,0,0,0,四川省,Sichuan
378,12,15599999,0,0,0,天津市,Tianjin
379,12,6879999,0,0,0,宁夏回族自治区,Ningxia
380,12,63239999,0,0,0,安徽省,Anhui
381,12,100469999,0,0,0,山东省,Shandong
382,12,37179999,0,0,0,山西省,Shanxi
383,12,113459999,0,0,0,广东省,Guangdong
384,12,49259999,0,0,0,广西壮族自治区,Guangxi
385,12,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
386,12,80509999,0,0,0,江苏省,Jiangsu
387,12,46479999,0,0,0,江西省,Jiangxi
388,12,75559999,0,0,0,河北省,Hebei
389,12,96049999,0,0,0,河南省,Henan
390,12,57369999,0,0,0,浙江省,Zhejiang
391,12,9339999,0,0,0,海南省,Hainan
392,12,59169992,4,2,1,湖北省,Hubei
393,12,68989999,0,0,0,湖南省,Hunan
394,12,26369999,0,0,0,甘肃省,Gansu
395,12,39409999,0,0,0,福建省,Fujian
